n_divergent_transitions,min_Rhat,max_Rhat,t_c1_w,t_c2_w,t_c3_w,t_c4_w,t_w_max,t_c1_s,t_c2_s,t_c3_s,t_c4_s,t_s_max,R_estimate,R_lower_cred_int,R_upper_cred_int,R_Rhat,k_estimate,k_lower_cred_int,k_upper_cred_int,k_Rhat,number_yearly_mutations_estimate,number_yearly_mutations_lower_cred_int,number_yearly_mutations_upper_cred_int,number_yearly_mutations_Rhat,mutation_proba_estimate,mutation_proba_lower_cred_int,mutation_proba_upper_cred_int,mutation_proba_Rhat,testing_proba_estimate,testing_proba_lower_cred_int,testing_proba_upper_cred_int,testing_proba_Rhat,detection_proba_estimate,detection_proba_lower_cred_int,detection_proba_upper_cred_int,detection_proba_Rhat
0,1.0017947998261318,1.0032051986941084,138.806,136.548,127.809,168.572,168.572,78.643,62.304,54.103,96.346,96.346,0.6717218900123734,0.471272505891748,0.9164947386467241,1.0025804443555735,0.5377668294261799,0.19819539415934878,1.049507122174208,1.0031626496196484,14.029405147726123,13.025147625324534,15.031245415142864,1.0017964452200683,0.1810302407387661,0.1692586096662859,0.19264935186346935,1.0017947998261318,0.42721859558551356,0.07331078228160345,0.9522510495332055,1.0032051986941084,0.004272185955855132,7.331078228160345e-4,0.009522510495332055,1.0032051986941084
0,0.999269530975632,1.0034012883647168,831.306,580.52,606.794,614.342,831.306,161.341,343.198,292.903,319.572,343.198,0.8183624299145017,0.6580766889818017,1.02570311443746,1.0004395940056858,0.5153843459446489,0.1821599744865163,1.053810912755737,1.0034012883647168,14.00560984496065,12.980742293188538,14.974095753504075,1.002621350330976,0.1807544164829636,0.1687332558518348,0.19199220007602144,1.0026253685386852,0.5415311083705032,0.08649936080976336,0.9783031180304538,0.999269530975632,0.005415311083705033,8.649936080976337e-4,0.009783031180304538,0.999269530975632
0,0.9998245500334022,1.0061690734060793,3387.16,4309.21,3467.64,5030.78,5030.78,1987.97,4139.04,2488.59,2182.38,4139.04,1.0708008218527334,1.0113449309011573,1.147118204471718,1.0061690734060793,0.5106694547425117,0.20739365688558972,0.9932797668696857,1.0015814365348181,13.950423617581816,12.91505318615398,14.992113999963095,0.9998245500334022,0.18010794402927588,0.16795548861078682,0.192199445432083,0.9998292265248956,0.6051221390465106,0.12365132155003589,0.9774435858571467,1.0054468230492106,0.0060512213904651046,0.0012365132155003587,0.009774435858571469,1.0054468230492106
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.001126387146072,1.005935929981096,81.544,48.841,119.033,58.214,119.033,51.25,37.026,41.585,36.981,51.25,0.6007944624231842,0.35159693467621556,0.8418760200085611,1.002892776263437,0.5337903033692897,0.1949233507926779,1.0910243177898291,1.001126387146072,14.019346533588827,13.043116250155945,15.048878608701834,1.0030926179620758,0.1809128808880581,0.16947109950302797,0.19285200418995616,1.0030894426966055,0.26785587024046353,0.05778441204450376,0.7907306336899914,1.005935929981096,0.002678558702404637,5.778441204450376e-4,0.007907306336899915,1.005935929981096
0,0.999549126737636,1.0007178087737627,157.161,171.786,164.928,203.124,203.124,113.824,166.411,100.698,115.192,166.411,0.7176984831161797,0.5393696956005735,0.9703323146331801,0.9997564110203174,0.5193468930336487,0.1909517722070613,1.0419231815444645,0.999549126737636,14.01363492135705,13.104589913523125,14.960224701552463,1.000189631712579,0.18084917705563516,0.17019765187304345,0.19183261910459193,1.0001876553524098,0.5058453480362086,0.07772088092265497,0.9671779719161325,1.0007178087737627,0.005058453480362088,7.772088092265497e-4,0.009671779719161324,1.0007178087737627
0,1.0021136945688824,1.0029993926213105,1251.61,1161.73,1405.3,1498.6,1498.6,623.367,687.379,596.075,1143.91,1143.91,0.997529743001341,0.9091354710153965,1.112803261334474,1.0029993926213105,0.46108727361005913,0.17364198402414963,0.9668747060177756,1.0021874249667053,14.007048296179285,13.035578112860726,14.918983867827293,1.0021136945688824,0.18077087639353343,0.16938196312266346,0.19135797361959522,1.0021162975202358,0.5898939520183752,0.11681069707247718,0.976939186487081,1.00240025496996,0.005898939520183757,0.0011681069707247718,0.009769391864870811,1.00240025496996
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.0003944834322422,1.0098883993792267,105.91,45.39,57.611,117.536,117.536,44.339,29.183,37.274,42.041,44.339,0.5789757460715852,0.3356955154474301,0.8102981277767001,1.0098883993792267,0.5510154504898818,0.21607820420707324,1.0721328720906624,1.0003944834322422,14.032473453795944,13.045417224736413,15.09407155576147,1.0006400565939442,0.18106509182994462,0.16949830603768756,0.19337115947278652,1.00062607844722,0.23065603795338507,0.05371176813247409,0.7184874815501223,1.006248075361719,0.0023065603795338497,5.371176813247409e-4,0.007184874815501223,1.006248075361719
0,0.999992574886315,1.009351872293497,65.651,80.305,92.458,90.74,92.458,47.639,57.671,50.185,51.641,57.671,0.6897439701320761,0.49053028126549203,0.9362650473161298,1.007316429230034,0.5342813081485795,0.1887893033514115,1.0287471588031265,1.0044687655154436,14.001541210638537,13.055303114261774,14.969434380968789,1.0000107509435368,0.18070787951855255,0.16961518557991875,0.19193857620452093,0.999992574886315,0.4407897341776167,0.06898459131919446,0.9494390847236033,1.009351872293497,0.004407897341776168,6.898459131919447e-4,0.009494390847236033,1.009351872293497
